anio,semana,label,prediction,year_week
2021,30,751,647.9295579392306,2021-30
2021,31,742,774.0750856565065,2021-31
2021,32,865,728.7116752787946,2021-32
2021,33,816,843.6731266766624,2021-33
2021,34,780,857.3478950668002,2021-34
2021,35,716,778.6474085904757,2021-35
2021,36,710,708.6321967390151,2021-36
2021,37,590,738.022901661749,2021-37
2021,38,539,662.3040858024818,2021-38
2021,39,525,569.4784923471291,2021-39
2021,40,493,505.54054103227975,2021-40
2021,41,435,505.54054103227975,2021-41
2021,42,411,505.54054103227975,2021-42
2021,43,437,505.54054103227975,2021-43
2021,44,499,505.54054103227975,2021-44
2021,45,438,505.54054103227975,2021-45
2021,46,496,505.54054103227975,2021-46
2021,47,477,505.54054103227975,2021-47
2021,48,542,505.54054103227975,2021-48
2021,49,538,505.54054103227975,2021-49
2021,50,560,505.54054103227975,2021-50
2021,51,588,601.767070972381,2021-51
2021,52,552,605.296626151096,2021-52
2022,1,873,553.1083197617291,2022-01
2022,2,903,871.2748249559338,2022-02
2022,3,1044,965.0739322017332,2022-03
2022,4,1131,1050.1655488136519,2022-04
2022,5,1056,1157.318288766274,2022-05
2022,6,988,1042.3864154220744,2022-06
2022,7,998,976.1045298499882,2022-07
2022,8,1011,995.920905291772,2022-08
2022,9,1058,991.4969578372105,2022-09
2022,10,1104,1056.43778481477,2022-10
2022,11,1123,1141.0594660496622,2022-11
2022,12,1178,1129.7741261070303,2022-12
2022,13,1206,1216.5850621229717,2022-13
2022,14,1240,1168.6328122638258,2022-14
2022,15,1341,1192.119345896362,2022-15
2022,16,1409,1319.6247065039308,2022-16
2022,17,1259,1299.6255745811577,2022-17
2022,18,1142,1209.5762894211787,2022-18
2022,19,1181,1138.8739186476369,2022-19
2022,20,1175,1234.2253008752787,2022-20
2022,21,1086,1162.8589243144152,2022-21
2022,22,1023,1029.0149865369979,2022-22
2022,23,850,946.9203776862254,2022-23
2022,24,776,892.4680869835374,2022-24
2022,25,672,772.865770204163,2022-25
2022,26,635,708.6321967390151,2022-26
2022,27,719,657.1868512301733,2022-27
2022,28,716,679.9129270881713,2022-28
2022,29,664,717.8428551379003,2022-29
2022,30,533,700.8528195847493,2022-30
2022,31,633,600.5221388010663,2022-31
2022,32,600,618.5175383895541,2022-32
2022,33,565,598.4787091025306,2022-33
2022,34,646,610.6973184097968,2022-34
2022,35,487,630.5806602667075,2022-35
2022,36,515,610.6628995489996,2022-36
2022,37,544,505.54054103227975,2022-37
2022,38,579,505.54054103227975,2022-38
2022,39,517,603.412370198715,2022-39
2022,40,467,482.4778849791205,2022-40
2022,41,515,505.54054103227975,2022-41
2022,42,504,505.54054103227975,2022-42
2022,43,550,505.54054103227975,2022-43
2022,44,598,505.54054103227975,2022-44
2022,45,582,603.412370198715,2022-45
2022,46,628,597.0410204219294,2022-46
2022,47,603,611.9671635686718,2022-47
2022,48,613,625.2645729833989,2022-48
2022,49,571,623.8961447351502,2022-49
2022,50,734,614.4152642879957,2022-50
2022,51,621,852.9107727667725,2022-51
2022,52,763,617.8822834470674,2022-52
2023,1,982,784.8573318652803,2023-01
2023,2,968,944.8865577443911,2023-02
2023,3,983,950.3100119780952,2023-03
2023,4,801,943.2986054835258,2023-04
2023,5,808,777.970681157921,2023-05
2023,6,734,772.865770204163,2023-06
2023,7,614,747.4626259817801,2023-07
2023,8,543,660.5488812333973,2023-08
2023,9,561,583.9789511899971,2023-09
2023,10,621,603.651326924762,2023-10
2023,11,659,603.4379094365473,2023-11
2023,12,749,647.9295579392306,2023-12
2023,13,774,774.0750856565065,2023-13
2023,14,791,763.9004427695237,2023-14
2023,15,777,773.4558682365996,2023-15
2023,16,860,778.6474085904757,2023-16
2023,17,865,843.2876091586764,2023-17
2023,18,854,949.3002123402425,2023-18
2023,19,998,949.3002123402425,2023-19
2023,20,1080,1030.700628923091,2023-20
2023,21,1155,1056.43778481477,2023-21
2023,22,1081,1140.764185965979,2023-22
2023,23,1081,1071.6921353839577,2023-23
2023,24,1258,1042.3864154220744,2023-24
2023,25,1192,1305.7398225300626,2023-25
2023,26,1064,1133.6828122638256,2023-26
2023,27,1242,1028.4570425679879,2023-27
2023,28,1158,1322.69881991732,2023-28
2023,29,1027,1129.4616865313983,2023-29
2023,30,894,976.2260976481089,2023-30
2023,31,978,922.0211894030778,2023-31
2023,32,890,913.4793883783659,2023-32
2023,33,744,912.5588278342144,2023-33
2023,34,863,741.6809875954674,2023-34
